Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,RF,0.769334975369458,0.7147900053163212,0.6046547741903778,0.7391558441558442,0.5263636363636364,0.9032163742690059
2,XG,0.7906403940886699,0.7405077086656033,0.6498771326712502,0.7917460317460318,0.5672727272727272,0.9137426900584795
3,Per,0.7318965517241379,0.7142769803296118,0.6377509288927032,0.6715639589169001,0.6554545454545454,0.7730994152046785
4,LR,0.7838669950738916,0.739688995215311,0.6561904761904762,0.7586111111111111,0.5872727272727272,0.8921052631578947
5,SVM,0.7700738916256158,0.7342078681552365,0.6497356135436629,0.7104148629148629,0.6081818181818182,0.8602339181286549
6,KNN,0.7874384236453202,0.7494258373205741,0.6692000835421887,0.7436435786435787,0.6172727272727273,0.881578947368421
7,RF + XG,0.783743842364532,0.7282854864433811,0.6290052336724163,0.781984126984127,0.5372727272727272,0.9192982456140351
8,RF + Per,0.7318965517241379,0.7142769803296118,0.6377509288927032,0.6715639589169001,0.6554545454545454,0.7730994152046785
9,RF + LR,0.776847290640394,0.7325119617224879,0.6421992481203007,0.7380050505050504,0.5781818181818181,0.8868421052631579
10,RF + SVM,0.7626847290640394,0.7216932482721956,0.6301120448179273,0.7081637806637806,0.5781818181818181,0.8652046783625732
11,RF + KNN,0.7730295566502463,0.7294258373205741,0.6388205808639245,0.7398701298701298,0.5772727272727273,0.881578947368421
12,XG + Per,0.7318965517241379,0.7142769803296118,0.6377509288927032,0.6715639589169001,0.6554545454545454,0.7730994152046785
13,XG + LR,0.7804187192118225,0.7327751196172249,0.6421525627794977,0.7504365079365078,0.5681818181818181,0.8973684210526315
14,XG + SVM,0.7768472906403939,0.7342796384901649,0.6436281881173522,0.7269769119769119,0.5872727272727272,0.8812865497076023
15,XG + KNN,0.7908866995073891,0.7474667729930887,0.6636204481792717,0.7594372294372295,0.5972727272727273,0.8976608187134503
16,Per + LR,0.7318965517241379,0.7142769803296118,0.6377509288927032,0.6715639589169001,0.6554545454545454,0.7730994152046785
17,Per + SVM,0.7318965517241379,0.7142769803296118,0.6377509288927032,0.6715639589169001,0.6554545454545454,0.7730994152046785
