Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,RF,0.769334975369458,0.7147900053163212,0.6046547741903778,0.7391558441558442,0.5263636363636364,0.9032163742690059
2,XG,0.8011083743842364,0.7369989367357788,0.6350438596491228,0.8823809523809523,0.5172727272727272,0.9567251461988304
3,DNN,0.7135467980295567,0.6813290802764487,0.5793753487803831,0.606993006993007,0.5690909090909091,0.7935672514619883
4,LR,0.7699507389162561,0.7375970228601807,0.6586726508785332,0.7056132756132756,0.6263636363636363,0.8488304093567252
5,SVM,0.7525862068965516,0.7141068580542265,0.6248488869231903,0.6967748917748917,0.579090909090909,0.8491228070175438
6,KNN,0.772783251231527,0.7272195640616692,0.6366199813258637,0.7531204906204906,0.5681818181818181,0.8862573099415204
7,RF + XG,0.7801724137931034,0.7160180754917597,0.6024185463659149,0.7958333333333333,0.4963636363636364,0.935672514619883
8,RF + DNN,0.7141625615763547,0.6746624136097821,0.5688049893003454,0.6177597402597402,0.539090909090909,0.8102339181286551
9,RF + LR,0.7836206896551724,0.7460473152578415,0.6609955034645437,0.725108225108225,0.6163636363636363,0.8757309941520468
10,RF + SVM,0.7629310344827586,0.719324827219564,0.6262667698658412,0.7053968253968252,0.5681818181818181,0.87046783625731
11,RF + KNN,0.7482758620689655,0.6945879851143009,0.5832656395891689,0.7043253968253967,0.5081818181818182,0.8809941520467837
12,XG + DNN,0.6963054187192118,0.6464513556618819,0.5173179160021265,0.584920634920635,0.47272727272727266,0.8201754385964912
13,XG + LR,0.7732758620689655,0.7226289207868155,0.623325593395253,0.7358730158730158,0.5481818181818181,0.8970760233918128
14,XG + SVM,0.7629310344827586,0.7147341839447102,0.6163788146837682,0.7195526695526695,0.5481818181818181,0.8812865497076023
15,XG + KNN,0.779679802955665,0.7234476342371079,0.6268378052975575,0.795064935064935,0.5281818181818181,0.9187134502923978
16,DNN + LR,0.7072660098522168,0.6664300903774587,0.5627015132382611,0.6206709956709956,0.5281818181818181,0.8046783625730993
17,DNN + SVM,0.7176108374384236,0.67849548112706,0.5773714589504062,0.6448232323232322,0.5409090909090909,0.8160818713450293
18,DNN + KNN,0.73128078817734,0.6895720361509835,0.5868644427467956,0.6491774891774892,0.5472727272727272,0.8318713450292398
19,LR + SVM,0.7596059113300492,0.7254199893673577,0.6434846809537211,0.6939971139971138,0.6072727272727273,0.8435672514619883
20,LR + KNN,0.7555418719211822,0.7071185539606593,0.6077631578947369,0.7130555555555556,0.5390909090909091,0.8751461988304093
21,SVM + KNN,0.7416256157635467,0.6923099415204679,0.5871695169295789,0.7013347763347764,0.5199999999999999,0.8646198830409357
22,RF + XG + DNN,0.734975369458128,0.6940058479532163,0.592200956937799,0.6636111111111112,0.55,0.8380116959064328
23,RF + XG + LR,0.7906403940886699,0.7403615098351939,0.6528508771929825,0.7798015873015872,0.5672727272727272,0.9134502923976608
24,RF + XG + SVM,0.7804187192118225,0.730699096225412,0.638234434124527,0.7583730158730159,0.5581818181818181,0.9032163742690059
25,RF + XG + KNN,0.7656403940886699,0.7059622541201488,0.5913652060014288,0.7622619047619048,0.49818181818181817,0.9137426900584795
