Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,RF,0.769334975369458,0.7147900053163212,0.6046547741903778,0.7391558441558442,0.5263636363636364,0.9032163742690059
2,GB,0.7940886699507388,0.7342663476874003,0.6339946680426557,0.8514285714285712,0.5281818181818181,0.9403508771929825
3,DNN,0.7242610837438423,0.7042929292929293,0.6209941850674114,0.6130924630924631,0.6363636363636364,0.7722222222222224
4,LR,0.7870689655172413,0.7464566719829877,0.6641471325372253,0.7434920634920634,0.6063636363636363,0.8865497076023392
5,SVM,0.7695812807881774,0.7331525784157362,0.6502138979161458,0.7218162393162393,0.6063636363636363,0.8599415204678362
6,KNN,0.7975369458128079,0.7430940988835725,0.6509857978279031,0.809949494949495,0.5563636363636364,0.9298245614035088
7,RF + GB,0.7767241379310345,0.7136948431685274,0.6028571428571429,0.7962698412698412,0.49727272727272726,0.9301169590643275
8,RF + DNN,0.7275862068965517,0.6978894205209994,0.608068388925503,0.6365023865023864,0.5963636363636363,0.7994152046783626
9,RF + LR,0.7764778325123152,0.7338250930356194,0.6426057791537667,0.7246031746031745,0.5863636363636363,0.8812865497076023
10,RF + SVM,0.7834975369458128,0.7370122275385433,0.6463659147869674,0.7541161616161617,0.5763636363636364,0.8976608187134503
11,RF + KNN,0.7801724137931034,0.7274215842636895,0.6273809523809524,0.7643939393939394,0.5463636363636363,0.9084795321637426
12,GB + DNN,0.7491379310344827,0.7144098883572567,0.6284973574756856,0.6803732378732378,0.5963636363636364,0.8324561403508772
13,GB + LR,0.7905172413793102,0.7378468899521531,0.6449096818214466,0.8046428571428571,0.5572727272727273,0.9184210526315789
14,GB + SVM,0.7766009852216749,0.7268660287081339,0.6339908595016954,0.7603066378066379,0.5563636363636363,0.8973684210526315
15,GB + KNN,0.7836206896551723,0.7282854864433811,0.6309290382819795,0.7910209235209236,0.5372727272727272,0.9192982456140351
16,DNN + LR,0.7557881773399014,0.7263237639553429,0.6494368050250403,0.6898376623376624,0.6254545454545455,0.8271929824561404
17,DNN + SVM,0.7352216748768472,0.6948644338118022,0.6041884685362946,0.6809090909090909,0.5572727272727273,0.8324561403508772
18,DNN + KNN,0.7348522167487684,0.7021318447634237,0.6081343733665715,0.6423304473304473,0.5881818181818181,0.8160818713450293
19,LR + SVM,0.7836206896551723,0.7438250930356193,0.6636044768784707,0.7459126984126985,0.6063636363636363,0.8812865497076023
20,LR + KNN,0.7836206896551724,0.7413104731525783,0.6534955034645437,0.7384415584415583,0.5963636363636364,0.8862573099415204
21,SVM + KNN,0.787192118226601,0.744088250930356,0.6597949530689469,0.7553066378066379,0.5963636363636364,0.8918128654970762
22,RF + GB + DNN,0.7519704433497536,0.7124508240297713,0.6169709148481528,0.6945604395604396,0.5763636363636364,0.8485380116959064
23,RF + GB + LR,0.7732758620689655,0.7200983519404571,0.6193016855865153,0.7471031746031745,0.5372727272727272,0.9029239766081872
24,RF + GB + SVM,0.7801724137931034,0.7296438064859118,0.6330360214261143,0.7551082251082251,0.5563636363636364,0.9029239766081872
25,RF + GB + KNN,0.7836206896551723,0.7278309409888356,0.6286141825151113,0.7860209235209235,0.5363636363636364,0.9192982456140351
26,RF + DNN + LR,0.7630541871921183,0.7206379585326953,0.62773887753562,0.7192352092352092,0.5763636363636364,0.8649122807017544
27,RF + DNN + SVM,0.7518472906403939,0.7158399787347156,0.6223732981993851,0.6872419247419248,0.5945454545454545,0.8371345029239766
28,RF + DNN + KNN,0.7663793103448275,0.7210473152578415,0.6261752978703443,0.733968253968254,0.5663636363636363,0.8757309941520468
29,RF + LR + SVM,0.7834975369458127,0.741602870813397,0.6571863482234999,0.7492460317460317,0.5963636363636364,0.8868421052631579
30,RF + LR + KNN,0.7905172413793102,0.746866028708134,0.6632613396235687,0.7656240981240982,0.5963636363636364,0.8973684210526315
31,RF + SVM + KNN,0.7868226600985221,0.7418660287081339,0.6530259472209936,0.76002886002886,0.5863636363636363,0.8973684210526315
32,GB + DNN + LR,0.7559113300492611,0.725156831472621,0.6430480613297951,0.6917460317460318,0.6172727272727272,0.8330409356725147
33,GB + DNN + SVM,0.741871921182266,0.7023338649654439,0.6124287992709044,0.6939898989898989,0.5663636363636363,0.8383040935672514
34,GB + DNN + KNN,0.7591133004926107,0.7176980329611908,0.6290639477481583,0.7185858585858587,0.5754545454545454,0.8599415204678362
35,GB + LR + SVM,0.7768472906403939,0.7292344497607655,0.6388710747456876,0.746904761904762,0.5663636363636363,0.8921052631578947
36,GB + LR + KNN,0.7801724137931034,0.7323205741626794,0.6418417366946778,0.7562987012987012,0.5672727272727272,0.8973684210526315
37,GB + SVM + KNN,0.787192118226601,0.7418660287081338,0.6558768244139761,0.7608621933621933,0.5863636363636364,0.8973684210526315
38,DNN + LR + SVM,0.7698275862068964,0.7263397129186602,0.63562632070372,0.7269300144300145,0.5763636363636363,0.8763157894736843
39,DNN + LR + KNN,0.7630541871921181,0.7253748006379585,0.6374432292853345,0.6994949494949495,0.5963636363636363,0.8543859649122807
40,DNN + SVM + KNN,0.7698275862068965,0.7307841573631046,0.6493844906383607,0.7295093795093794,0.5963636363636364,0.8652046783625732
41,LR + SVM + KNN,0.787192118226601,0.744088250930356,0.6597949530689469,0.7553066378066379,0.5963636363636364,0.8918128654970762
42,RF + GB + DNN + LR,0.7805418719211822,0.7373498139287612,0.6535394301261174,0.7563888888888889,0.5872727272727272,0.8874269005847953
43,RF + GB + DNN + SVM,0.7767241379310345,0.7363397129186603,0.6546811882647796,0.7415873015873016,0.5963636363636363,0.8763157894736843
44,RF + GB + DNN + KNN,0.7870689655172413,0.7421584263689527,0.65703154946189,0.774484126984127,0.5863636363636363,0.897953216374269
45,RF + GB + LR + SVM,0.7907635467980295,0.7470122275385432,0.6653672170622634,0.7631349206349206,0.5963636363636364,0.8976608187134503
46,RF + GB + LR + KNN,0.7836206896551723,0.7368660287081339,0.6468354710305174,0.7566955266955266,0.5763636363636364,0.8973684210526315
47,RF + GB + SVM + KNN,0.7870689655172413,0.735053163211058,0.6409430438842204,0.7828463203463203,0.5563636363636363,0.9137426900584795
48,RF + DNN + LR + SVM,0.7698275862068965,0.7331525784157362,0.6532957393483707,0.7155555555555555,0.6063636363636362,0.8599415204678362
49,RF + DNN + LR + KNN,0.7695812807881773,0.726193514088251,0.6379351565187478,0.7449458874458874,0.5763636363636364,0.8760233918128655
50,RF + DNN + SVM + KNN,0.7698275862068964,0.7285619351408824,0.6408980785296575,0.7289141414141415,0.5863636363636364,0.8707602339181287
51,RF + LR + SVM + KNN,0.7906403940886699,0.751602870813397,0.6726688043638507,0.7544733044733044,0.6163636363636364,0.8868421052631579
52,GB + DNN + LR + SVM,0.7662561576354678,0.7234157363104731,0.6336982161285567,0.7161507936507936,0.5763636363636363,0.87046783625731
53,GB + DNN + LR + KNN,0.7663793103448275,0.7281525784157362,0.6427631578947367,0.7170707070707071,0.5963636363636363,0.8599415204678362
54,GB + DNN + SVM + KNN,0.7733990147783251,0.7313397129186602,0.6479732419283503,0.7425252525252526,0.5863636363636363,0.8763157894736843
55,GB + LR + SVM + KNN,0.787192118226601,0.7418660287081338,0.6558768244139761,0.7608621933621933,0.5863636363636364,0.8973684210526315
56,DNN + LR + SVM + KNN,0.7697044334975368,0.7261935140882508,0.637717823971694,0.7306204906204906,0.5763636363636363,0.8760233918128655
57,RF + GB + DNN + LR + SVM,0.7629310344827586,0.7187081339712917,0.6240606641380635,0.7182936507936508,0.5663636363636363,0.8710526315789473
58,RF + GB + DNN + LR + KNN,0.7769704433497535,0.7317490696438064,0.6423660867855914,0.7394047619047619,0.5763636363636363,0.8871345029239766
59,RF + GB + DNN + SVM + KNN,0.7766009852216749,0.7314566719829877,0.6424770258980785,0.7438888888888889,0.5763636363636364,0.8865497076023392
60,RF + GB + LR + SVM + KNN,0.787192118226601,0.7418660287081339,0.6560021376971841,0.7600288600288599,0.5863636363636364,0.8973684210526315
61,RF + DNN + LR + SVM + KNN,0.7731527093596058,0.7288250930356194,0.6414682539682539,0.7377777777777779,0.5763636363636363,0.8812865497076023
62,GB + DNN + LR + SVM + KNN,0.7698275862068964,0.7217490696438065,0.6272463020295838,0.738553391053391,0.5563636363636363,0.8871345029239766
63,RF + GB + DNN + LR + SVM + KNN,0.7732758620689654,0.7289712918660286,0.6382725195341294,0.731626984126984,0.5763636363636363,0.881578947368421
