Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,ET,0.8352555301296721,0.8344338938165461,0.797570590048881,0.7819445196777493,0.829694727104533,0.8391730605285593
2,XG,0.8482913806254766,0.8456834630244329,0.810169323734892,0.8023967437319784,0.8317761332099908,0.8595907928388746
3,DNN,0.8169794050343249,0.8139758030871922,0.7770367934623772,0.7653201327074859,0.7976873265494911,0.8302642796248934
4,LR,0.8430663615560642,0.8441169668607499,0.8110664526564907,0.7828208515256158,0.8491674375578169,0.8390664961636828
5,SVM,0.8247292143401983,0.8245376920425894,0.7869631206942633,0.7635115116203604,0.8232654949121183,0.8258098891730604
6,KNN,0.8395347063310451,0.8417759518238379,0.8072955733595759,0.7714829192082854,0.8533302497687327,0.8302216538789429
7,ET + XG,0.846559877955759,0.8452660481398852,0.8095227725313027,0.796945435932086,0.8382516188714154,0.8522804774083547
8,ET + DNN,0.8404805491990845,0.8377872703197837,0.8031617936996293,0.7934680960518232,0.8233580018501387,0.8522165387894287
9,ET + LR,0.8430739893211289,0.8423817815747945,0.8072309043128122,0.7887177314734355,0.8383441258094356,0.8464194373401535
10,ET + SVM,0.8378032036613273,0.8389236545682103,0.8041840080970056,0.7751065704488009,0.84472710453284,0.8331202046035806
11,ET + KNN,0.8369412662090007,0.8361690791025014,0.799147543492001,0.7793671152508737,0.8318223866790009,0.8405157715260018
12,XG + DNN,0.8300228832951945,0.8272711813680145,0.7889344188731855,0.7829482358053786,0.8125346901017576,0.842007672634271
13,XG + LR,0.843951182303585,0.8424262211822751,0.8072171707468108,0.794557535470968,0.8340425531914895,0.8508098891730604
14,XG + SVM,0.8413348588863462,0.8428717509205347,0.809165292321703,0.7816836771057657,0.8511100832562442,0.8346334185848253
15,XG + KNN,0.8413119755911518,0.8404581814224302,0.803857230633976,0.7881138164152792,0.8360314523589268,0.8448849104859335
16,DNN + LR,0.8317238749046529,0.829834167709637,0.7941239033504004,0.7775694905741509,0.8191951896392229,0.8404731457800512
17,DNN + SVM,0.8221891685736079,0.8234294226478751,0.7883066122291151,0.7587134398761597,0.8297872340425532,0.8170716112531968
18,DNN + KNN,0.8335087719298245,0.834341613611217,0.8007115249755504,0.7731501520404275,0.8384828862164662,0.8302003410059676
19,LR + SVM,0.8343173150266973,0.8353022800239431,0.8005986865413812,0.7707418656847234,0.8404255319148936,0.8301790281329924
20,LR + KNN,0.8343020594965674,0.8346665215577443,0.7988173253904061,0.7713893643190477,0.8361702127659575,0.8331628303495313
21,SVM + KNN,0.8369183829138063,0.8374850356423792,0.8016222965864512,0.7734991292881805,0.8403792784458833,0.8345907928388746
22,ET + XG + DNN,0.8457131960335621,0.8442040322141808,0.8095576400400952,0.7972053052023884,0.8361702127659575,0.8522378516624041
23,ET + XG + LR,0.8456979405034325,0.8445770074912481,0.8096885079679147,0.7953354812987324,0.8383441258094356,0.8508098891730604
24,ET + XG + SVM,0.8413119755911518,0.8418879577733035,0.8074548189606136,0.7829168402333615,0.8447733580018502,0.839002557544757
25,ET + XG + KNN,0.8439130434782609,0.8426622499138416,0.8051305985793414,0.7923050822295231,0.8359851988899167,0.8493393009377664
26,ET + DNN + LR,0.83697177726926,0.8355013513268397,0.7999506266858442,0.7837506317287424,0.8275670675300647,0.8434356351236147
27,ET + DNN + SVM,0.8343401983218918,0.8339969799205529,0.7986043335508811,0.7774887961599832,0.8318686401480111,0.8361253196930946
28,ET + DNN + KNN,0.8334630053394356,0.832901180823856,0.7974234654789698,0.7762729452483346,0.8297409805735431,0.8360613810741688
29,ET + LR + SVM,0.8395499618611748,0.8407227784730914,0.8060016710935868,0.7768338868854796,0.846854764107308,0.8345907928388746
30,ET + LR + KNN,0.8430282227307397,0.8423142152328091,0.8066357144680192,0.7869078091108052,0.8382516188714154,0.846376811594203
31,ET + SVM + KNN,0.8342944317315026,0.8346096116522466,0.7978750543335199,0.7713921314321089,0.8360777058279372,0.8331415174765558
32,XG + DNN + LR,0.8352402745995423,0.8347554007727049,0.7987486589777613,0.7788752686850505,0.8319148936170212,0.8375959079283888
