Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,RF,0.8439435545385201,0.8355353612305236,0.7958248941018399,0.8245934839558391,0.7909343200740055,0.8801364023870418
2,XG,0.8474294431731504,0.8460369392900546,0.8114437269810251,0.7971370284375962,0.8383441258094356,0.8537297527706734
3,DNN,0.8335163996948893,0.8333328798679508,0.7992626230853677,0.7731908586730437,0.8320536540240517,0.8346121057118498
4,LR,0.8422044241037374,0.8430531370735158,0.8095444962307161,0.7838974862809498,0.8470397779833487,0.8390664961636828
5,SVM,0.8369488939740656,0.8430368123197475,0.8112404739828406,0.7596711048701865,0.8748843663274746,0.8111892583120206
6,KNN,0.8386803966437835,0.839364196187263,0.8048383061374136,0.7781394530003504,0.842645698427382,0.8360826939471441
7,RF + XG,0.8404500381388254,0.8373875405851517,0.7995044014614587,0.7933357601137005,0.82104532839963,0.8537297527706734
8,RF + DNN,0.8282837528604119,0.8230584879650287,0.7833661700950623,0.7849009432184808,0.7953283996299721,0.8507885763000852
9,RF + LR,0.8456750572082379,0.8418117755890517,0.8051952845367116,0.8033329539475556,0.8210915818686401,0.8625319693094629
10,RF + SVM,0.8386880244088483,0.8407565616440842,0.806988255427332,0.7720836295807758,0.8512488436632747,0.8302642796248934
11,RF + KNN,0.8412738367658275,0.8380890515318061,0.7993897823147083,0.7929979826246424,0.8209990749306197,0.8551790281329923
12,XG + DNN,0.8256826849733028,0.8215346175472964,0.7838919944757878,0.7805163620095632,0.7996762257169288,0.843393009377664
13,XG + LR,0.843951182303585,0.8431295459904591,0.8084196290540957,0.7908948450177123,0.8383903792784458,0.8478687127024722
14,XG + SVM,0.842189168573608,0.8457508026337269,0.8137472547978353,0.7731720192022197,0.8641998149861239,0.8273017902813299
15,XG + KNN,0.8430434782608696,0.8412592280205329,0.8036099455694734,0.7926080114210701,0.8317298797409807,0.8507885763000852
16,DNN + LR,0.8317315026697176,0.8321232609602583,0.7977699358542162,0.7714767280498134,0.8340888066604994,0.830157715260017
