Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,DT,0.8282532418001525,0.814872984346375,0.768276784013184,0.8231219271211657,0.7436632747456058,0.886082693947144
2,XG,0.8465141113653699,0.8425257568337233,0.8064529901329551,0.8045570693422072,0.8210915818686402,0.8639599317988065
3,DNN,0.8273913043478262,0.8271591754185487,0.7901849345536329,0.7674758747378102,0.8254394079555967,0.8288789428815004
4,LR,0.8439435545385201,0.8437403638606227,0.8093830658100737,0.788565650464991,0.8425531914893616,0.844927536231884
5,SVM,0.8360411899313501,0.8364193919936153,0.8003309613639077,0.77310235226467,0.8382053654024052,0.8346334185848253
6,KNN,0.8413043478260869,0.8384744971068908,0.8007435579520383,0.7932461946710966,0.8232192414431083,0.8537297527706734
7,DT + XG,0.8439359267734554,0.837631051495529,0.7992678042127549,0.8140961741580295,0.8038852913968547,0.8713768115942029
8,DT + DNN,0.836979405034325,0.8342103353829969,0.7991830210589834,0.7878250732844261,0.8191026827012026,0.8493179880647912
9,DT + LR,0.8378108314263922,0.835297291904736,0.8000135930580614,0.7940164981439061,0.8212765957446809,0.8493179880647912
10,DT + SVM,0.8395575896262395,0.839451261540694,0.8044671330238383,0.7818202763303976,0.8383441258094356,0.8405583972719523
11,DT + KNN,0.8378413424866512,0.8335265095862582,0.7953096906965142,0.795085332267724,0.8103607770582795,0.8566922421142369
12,XG + DNN,0.8230129672006102,0.8241522464675046,0.7871083488447517,0.7557077207406521,0.8297409805735431,0.8185635123614663
13,XG + LR,0.844797864225782,0.8455875550960441,0.8131505516693844,0.7884416841449224,0.8491674375578169,0.8420076726342712
14,XG + SVM,0.8395423340961099,0.8390551595291216,0.8038215184007876,0.7822816834376985,0.8361239592969474,0.8419863597612958
15,XG + KNN,0.8439130434782609,0.8413605775335112,0.8043385591547496,0.7956073267117387,0.8275208140610545,0.8552003410059676
16,DNN + LR,0.8308695652173913,0.8286653606863652,0.7917051013139276,0.7768374403456226,0.8168362627197041,0.8404944586530263
17,DNN + SVM,0.8317238749046529,0.832766048139885,0.7977150687979296,0.7698632810937512,0.8382516188714154,0.8272804774083546
18,DNN + KNN,0.8273760488176964,0.8240139395258567,0.7853775078851901,0.7758391891736002,0.8061054579093432,0.8419224211423699
19,LR + SVM,0.8413043478260869,0.8429286608260325,0.8095501867455868,0.7774839484865563,0.8512025901942645,0.8346547314578006
20,LR + KNN,0.8430511060259344,0.8427103172443816,0.8076713922470546,0.7879554976754873,0.8404717853839039,0.8449488491048595
21,SVM + KNN,0.8377955758962623,0.8375845712938276,0.8012507509409804,0.7792242511039504,0.8361239592969472,0.8390451832907075
22,DT + XG + DNN,0.8387032799389779,0.8349313453410966,0.7979948889794055,0.7949895285149559,0.8146623496762257,0.8552003410059676
23,DT + XG + LR,0.8439206712433258,0.8407391032268597,0.8058467979576165,0.8028585852578015,0.8233580018501387,0.8581202046035805
24,DT + XG + SVM,0.8412967200610222,0.8398793328617293,0.8041887598277977,0.7888429951253728,0.8318686401480111,0.8478900255754475
25,DT + XG + KNN,0.8413119755911518,0.8374657633636249,0.8006192793477265,0.7972088475777384,0.8167900092506939,0.8581415174765559
26,DT + DNN + LR,0.8404347826086956,0.837025221744572,0.8001425968778424,0.7937382977217811,0.8188714153561516,0.8551790281329923
27,DT + DNN + SVM,0.8325705568268498,0.8304075746857486,0.7928693947528231,0.7780268038839468,0.8188714153561518,0.8419437340153453
28,DT + DNN + KNN,0.8369641495041954,0.8351728156572527,0.7987624476166523,0.7845519795037743,0.8254394079555967,0.8449062233589087
29,DT + LR + SVM,0.8378108314263921,0.8376183544648201,0.8015008250187071,0.7808515940774454,0.8361702127659575,0.839066496163683
30,DT + LR + KNN,0.8413119755911518,0.8395170140211496,0.8035179730152366,0.7896973725883332,0.829694727104533,0.8493393009377664
31,DT + SVM + KNN,0.8360564454614797,0.8357836335274165,0.7991096346045966,0.7780057985054689,0.833950046253469,0.837617220801364
32,XG + DNN + LR,0.8360717009916094,0.8340396056665034,0.796769860159935,0.783164746531455,0.823172987974098,0.8449062233589087
33,XG + DNN + SVM,0.8317009916094584,0.8316897480546336,0.7957286622635882,0.7711766435248758,0.8317298797409807,0.8316496163682865
