Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,ET,0.86545041432772,0.8701778513207085,0.8494474342195015,0.8056550576621355,0.9006006006006005,0.8397551020408164
2,Ada,0.8781876503608661,0.8848586443586444,0.8649842175127513,0.8119043704520535,0.9280030030030032,0.8417142857142859
3,Per,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
4,LR,0.8782143811815022,0.8841388122816694,0.864432135259954,0.8153301458542765,0.9225225225225225,0.8457551020408163
5,SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
6,KNN,0.8758754343758353,0.8817123858552429,0.8617166962443108,0.8151137746375161,0.9196696696696698,0.8437551020408163
7,ET + Ada,0.874726009088479,0.8793069804498377,0.8594475574069069,0.817362821845945,0.9088588588588589,0.8497551020408164
8,ET + Per,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
9,ET + LR,0.8770382250735098,0.8827499233927807,0.8629479252490491,0.8150516438684576,0.9197447447447447,0.8457551020408163
10,ET + SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
11,ET + KNN,0.8758754343758353,0.8821012747441319,0.8619843090102408,0.8128553673943527,0.9224474474474474,0.8417551020408164
12,Ada + Per,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
13,Ada + LR,0.8793638064688587,0.8854901636330208,0.8658172602223149,0.8157846913088221,0.9252252252252253,0.8457551020408163
14,Ada + SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
15,Ada + KNN,0.8723870622828122,0.8791012747441318,0.8586560754930435,0.8067354494406473,0.9224474474474474,0.8357551020408163
16,Per + LR,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
17,Per + SVM,0.8642876236300454,0.8702661641233069,0.8487649610025125,0.7992062276068623,0.9088588588588589,0.8316734693877551
