Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,RF,0.8492248062015504,0.8453162652448366,0.8206020079757421,0.8234638842343671,0.8207957957957959,0.8698367346938776
2,XG,0.8804998663458969,0.8834541275969847,0.864208770570628,0.8318595602691714,0.9031531531531533,0.8637551020408163
3,DNN,0.8376369954557605,0.8365718575718576,0.8109239996309089,0.7976458005519003,0.8294294294294294,0.8437142857142857
4,LR,0.8770382250735098,0.8831388122816695,0.863372226743526,0.8137190875359013,0.9225225225225225,0.8437551020408163
5,SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
6,KNN,0.8770382250735098,0.8827327940185082,0.8629786331943489,0.8165780894306875,0.9196696696696698,0.845795918367347
7,RF + XG,0.8758487035551992,0.8775676288533433,0.8575141637432795,0.8318048236354872,0.8893393393393394,0.8657959183673469
8,RF + DNN,0.845709703287891,0.8456424281424282,0.8213144683252208,0.802018689298956,0.8455705705705705,0.8457142857142858
9,RF + LR,0.8724004276931302,0.8772694429123,0.8570491034572021,0.81316964375475,0.9087837837837839,0.8457551020408163
10,RF + SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
11,RF + KNN,0.8735498529804865,0.8781772384629528,0.8579200271080136,0.81654562189822,0.9085585585585587,0.8477959183673469
12,XG + DNN,0.8561748195669606,0.8584187044187044,0.8363800979999813,0.8055809557606735,0.8731231231231231,0.8437142857142857
13,XG + LR,0.8782010157711841,0.8830096831525402,0.8634455379747321,0.8207767880724208,0.9142642642642643,0.8517551020408163
14,XG + SVM,0.8735632183908046,0.8812475332475331,0.8609830357676671,0.8032023641034461,0.9307807807807809,0.8317142857142859
15,XG + KNN,0.8782143811815024,0.8837123858552429,0.8641448784645466,0.8184001185395259,0.9196696696696698,0.8477551020408163
16,DNN + LR,0.8561614541566426,0.8588075933075933,0.836112222471397,0.8038515089257994,0.8759009009009009,0.8417142857142859
17,DNN + SVM,0.8642742582197274,0.8688264999693571,0.8475577761609203,0.8054304262084827,0.897897897897898,0.8397551020408164
18,DNN + KNN,0.8619620422346965,0.8653460194888767,0.8435592345970522,0.8077007373060004,0.886936936936937,0.8437551020408163
19,LR + SVM,0.8747126436781609,0.8822475332475334,0.8620157380051887,0.8048674889878125,0.9307807807807809,0.8337142857142859
20,LR + KNN,0.8747126436781609,0.880712385855243,0.8608129124849432,0.8119548749399053,0.9196696696696698,0.8417551020408164
