Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
1,DT,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
2,Ada,0.8793504410585407,0.8862475332475332,0.8664579017232776,0.8122889858366689,0.9307807807807809,0.8417142857142859
3,DNN,0.8468858593958835,0.8468129864558435,0.8225096910270804,0.8053824904016154,0.8458708708708709,0.8477551020408163
4,LR,0.8735498529804865,0.880565238708096,0.8605547238067563,0.8072477601706808,0.9253753753753754,0.8357551020408163
5,SVM,0.868925421010425,0.8745832567261138,0.8542019432031781,0.807034218185637,0.9114114114114115,0.8377551020408163
6,KNN,0.874739374498797,0.8819165900594472,0.8618850809749,0.8067996788402464,0.9280780780780782,0.8357551020408163
7,DT + Ada,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
8,DT + DNN,0.8631515637530072,0.8670862597291169,0.8461239122159286,0.8072185021975724,0.8924174174174174,0.8417551020408164
9,DT + LR,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
10,DT + SVM,0.8677626303127506,0.8754697554697556,0.8547778054502226,0.7972954495425075,0.9252252252252253,0.8257142857142858
11,DT + KNN,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
12,Ada + DNN,0.8480620155038758,0.8488262241833671,0.8254555707450443,0.8025002192290154,0.853978978978979,0.843673469387755
13,Ada + LR,0.8712242715851376,0.878176349819207,0.8580360696214354,0.80482633335901,0.9225975975975977,0.8337551020408164
14,Ada + SVM,0.868925421010425,0.8745832567261138,0.8542019432031781,0.807034218185637,0.9114114114114115,0.8377551020408163
15,Ada + KNN,0.8712510024057739,0.8792850707850708,0.8588149939491402,0.7989236288172877,0.930855855855856,0.8277142857142857
16,DNN + LR,0.860785886126704,0.8635853710853711,0.8421004154991005,0.8088848734500909,0.8814564564564564,0.8457142857142858
17,DNN + SVM,0.8677759957230687,0.8714000735429307,0.8510499247725292,0.8138002958655133,0.895045045045045,0.8477551020408164
18,DNN + KNN,0.8619486768243785,0.8645307041735613,0.84326700402952,0.8108411788224089,0.8813063063063062,0.8477551020408163
19,LR + SVM,0.8712376369954559,0.8781012747441318,0.8578380944181324,0.8052796175556665,0.9224474474474477,0.8337551020408164
20,LR + KNN,0.8735498529804865,0.8816568302996874,0.8613878197534197,0.8018361058278931,0.9335585585585587,0.8297551020408163
21,SVM + KNN,0.8712510024057739,0.8773610345038916,0.8572120575044316,0.8080048917389299,0.9169669669669671,0.8377551020408163
22,DT + Ada + DNN,0.8665864742047582,0.8710823680823682,0.8501736400313978,0.8084243047657681,0.9004504504504505,0.8417142857142859
23,DT + Ada + LR,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
24,DT + Ada + SVM,0.8677626303127506,0.8754697554697556,0.8547778054502226,0.7972954495425075,0.9252252252252253,0.8257142857142858
25,DT + Ada + KNN,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
26,DT + DNN + LR,0.8712510024057739,0.8777499233927806,0.8575571892772805,0.8055652938529535,0.9197447447447449,0.8357551020408163
27,DT + DNN + SVM,0.8677759957230686,0.8735832567261138,0.8531139185469987,0.8050272249415997,0.9114114114114115,0.8357551020408163
28,DT + DNN + KNN,0.8724137931034482,0.8787499233927806,0.8587180889624214,0.8080185029754512,0.9197447447447449,0.8377551020408163
29,DT + LR + SVM,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
30,DT + LR + KNN,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
31,DT + SVM + KNN,0.8666132050253943,0.8741184041184041,0.8534008691335272,0.7967866613833956,0.9225225225225226,0.8257142857142858
32,Ada + DNN + LR,0.8596364608393477,0.8621214071214072,0.8401954609429954,0.8080141459271697,0.8785285285285285,0.8457142857142858
33,Ada + DNN + SVM,0.8619620422346965,0.8648445179873752,0.8434125795607628,0.8104821785601539,0.8839339339339338,0.8457551020408163
34,Ada + DNN + KNN,0.8677358994921145,0.8721370349941779,0.8515783807663597,0.8102430105028195,0.9006006006006005,0.8436734693877552
35,Ada + LR + SVM,0.8724004276931302,0.8791012747441318,0.8589183413317126,0.8070472943233433,0.9224474474474477,0.8357551020408163
36,Ada + LR + KNN,0.8747126436781609,0.8822679414107986,0.8621902049145891,0.8057856856598258,0.9307807807807809,0.8337551020408164
37,Ada + SVM + KNN,0.8712510024057739,0.8773610345038916,0.8572120575044316,0.8080048917389299,0.9169669669669671,0.8377551020408163
38,DNN + LR + SVM,0.8700882117080994,0.8744916651345223,0.8541982885628233,0.8135141587116113,0.9032282282282281,0.8457551020408163
39,DNN + LR + KNN,0.868925421010425,0.8735292026720598,0.8533490827512678,0.8116224475048005,0.9033033033033033,0.8437551020408163
40,DNN + SVM + KNN,0.8712376369954559,0.8762694429123,0.8561302214525621,0.8127420040370177,0.9087837837837839,0.8437551020408163
41,LR + SVM + KNN,0.8724137931034482,0.8795277011705582,0.8595155833889644,0.805694549227226,0.9253003003003004,0.8337551020408164
42,DT + Ada + DNN + LR,0.8712376369954556,0.8773234969663541,0.8569027975035274,0.8072896062442778,0.9168918918918921,0.8377551020408163
43,DT + Ada + DNN + SVM,0.8666132050253943,0.8729721456150028,0.8523996328327129,0.801812147336278,0.9141891891891893,0.8317551020408164
44,DT + Ada + DNN + KNN,0.8724137931034482,0.8791388122816693,0.8590468560857092,0.8061474011043493,0.9225225225225226,0.8357551020408163
45,DT + Ada + LR + SVM,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
46,DT + Ada + LR + KNN,0.8700882117080994,0.8782475332475332,0.8578462986009076,0.7981270503741084,0.9307807807807809,0.8257142857142858
47,DT + Ada + SVM + KNN,0.8677759957230687,0.8755072930072931,0.8549558487706987,0.7972134039154013,0.9253003003003004,0.8257142857142858
48,DT + DNN + LR + SVM,0.8689120556001069,0.8753234969663539,0.8548092713869299,0.8039860603797564,0.9168918918918921,0.8337551020408164
49,DT + DNN + LR + KNN,0.8724004276931302,0.8798790525219097,0.8596728929994099,0.803422126921086,0.9280030030030032,0.8317551020408164
50,DT + DNN + SVM + KNN,0.8689387864207431,0.8749721456150027,0.8545744832987026,0.8055255638120314,0.9141891891891893,0.8357551020408163
51,DT + LR + SVM + KNN,0.868925421010425,0.8768586443586445,0.856332785087394,0.7977221920745132,0.9280030030030032,0.8257142857142858
52,Ada + DNN + LR + SVM,0.8735632183908045,0.8786207942636514,0.8586656606968621,0.8149904712060747,0.9114864864864864,0.8457551020408163
53,Ada + DNN + LR + KNN,0.868925421010425,0.8745832567261138,0.8540992281611526,0.8067285801900214,0.9114114114114115,0.8377551020408163
54,Ada + DNN + SVM + KNN,0.8700748462977813,0.8751943678372249,0.8548478263033379,0.8098018648912131,0.9086336336336338,0.8417551020408164
55,Ada + LR + SVM + KNN,0.8700882117080994,0.8767499233927806,0.8564569601248617,0.804796525768227,0.9197447447447449,0.8337551020408164
56,DNN + LR + SVM + KNN,0.8735765838011227,0.8793610345038916,0.8594639959849211,0.8120639883590022,0.9169669669669671,0.8417551020408164
57,DT + Ada + DNN + LR + SVM,0.8724137931034482,0.8787499233927806,0.8585820178297316,0.8081188147036699,0.9197447447447449,0.8377551020408163
58,DT + Ada + DNN + LR + KNN,0.871264367816092,0.8781388122816693,0.8580333884208065,0.8050356920553299,0.9225225225225226,0.8337551020408164
59,DT + Ada + DNN + SVM + KNN,0.8677759957230686,0.8739721456150027,0.8534932760316194,0.8037633668484732,0.9141891891891893,0.8337551020408164
60,DT + Ada + LR + SVM + KNN,0.868925421010425,0.8768586443586445,0.856332785087394,0.7977221920745132,0.9280030030030032,0.8257142857142858
